7FF 7F5 800
80E 7FE 80B
80E 7FD 80B
814 7FF 813
80E 7FF 80D
803 7FB 80E
80E 7FD 80B
80E 7FE 80B
813 7FF 80F
80F 7FF 80F
80D 7FD 80A
80D 7FE 80A
80D 7FE 80B
80D 7FF 80B
80D 7FE 80B
80E 7FF 80B
80D 7FE 80B
80E 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FF 80A
80D 7FD 80B
80D 7FF 80B
80D 7FE 80B
80D 7FE 80B
80D 7FD 80B
80E 7FE 80B
80D 7FE 80B
80E 7FE 80C
80D 7FF 80B
80E 7FE 80B
80D 7FE 80B
80D 7FE 80B
80E 7FF 80B
80E 800 80B
80F 7FC 80B
80E 7FD 809
80E 7FF 80B
80D 7FE 80B
80B 7D1 80C
80D 7FE 80B
80D 7FD 80B
80D 7FE 80B
80E 7FE 80B
80D 7FE 80B
80D 7FE 80B
80F 7FE 80B
80D 7FE 80B
80E 7FF 80B
80D 7FE 80A
80D 7FE 80B
80D 7FF 80B
80D 7FF 80B
80F 7FD 80B
80E 7FE 80B
80E 7FD 80B
80D 7FD 80B
80D 7FE 80B
80D 7FE 80B
80D 801 80B
80D 7FE 80B
80E 7FE 80B
80D 7FE 80B
80D 7FE 80C
80D 7FF 80A
80D 7FE 80B
80E 7FE 80B
80E 7FE 80B
80D 7FE 80B
80D 7FD 80B
80E 7FF 80B
80E 7FF 80B
80D 7FE 80B
80E 7FE 80B
80D 7FD 80B
810 7F4 80D
811 800 81A
80E 7FE 80C
80E 7FD 80C
80E 7F8 80A
80C 7FC 80B
80D 7FF 80B
80D 7FD 80A
80E 7FE 80B
80D 7FD 80B
80D 7FE 80B
80D 7FE 80B
80E 7FD 80B
80D 7FE 80B
80D 7FF 80B
80E 7FE 80B
80D 7FF 80B
80F 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FD 80B
80D 7FF 80B
80E 7FE 80B
80E 7FE 80B
80E 7FE 80B
80E 7FD 80B
80D 7FE 80B
80E 7FE 80B
80D 7FF 80B
80D 7FF 80B
80E 7FE 80A
80D 7FF 80B
80D 7FF 80A
80E 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80E 7FF 80B
80E 7FD 80B
80F 7FD 80B
80E 7FF 809
80E 7FD 80B
80E 7FF 80B
811 800 811
80F 7FF 80F
80E 7FE 80B
80D 7FE 80B
80D 7FD 80B
80D 7FF 80B
80D 7FE 80B
80D 7FE 80A
80D 800 80B
80D 7FE 80B
80D 7FE 80B
80E 7FE 80B
80E 7FD 80B
80D 7FE 80B
80D 7FE 80B
80E 800 80B
80D 7FD 80B
80E 7FE 80B
80D 7FE 80B
80E 7FF 80B
80D 7FE 80B
80D 7FE 80B
80D 7FF 80B
80E 7FD 80B
80D 7FE 80B
80F 7FE 80B
80D 7FE 80B
80D 7FE 80B
80E 7FD 808
80D 7FE 80B
80E 7FE 80B
80D 7FE 80B
80E 7FE 80B
80D 800 80B
80F 7FE 80B
80D 7FF 80C
80B 7FB 7FF
80D 800 820
80C 7FE 80C
80D 7FF 80D
810 810 814
80D 7FD 80B
80D 7FF 80B
80E 7FE 80B
80D 7FF 80B
80D 7FE 80B
80E 7FF 80B
80E 7FE 80C
80D 7FE 80B
80D 7FE 80B
80D 7FF 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FF 80B
80D 7FE 80B
80E 7FE 80B
80E 7FE 80B
80D 7FE 80B
80D 7FD 80B
80E 800 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80E 7FE 80B
80D 7FF 80A
80E 7FD 80B
80D 7FE 80B
80E 7FF 80B
80D 7FE 80B
80D 7FE 80B
80D 7FD 80B
80C 7FD 80B
80D 7FE 80B
80E 7FF 809
811 800 816
80F 801 81A
80E 7FE 80B
80D 7FE 80D
80B 7E3 801
80F 7FF 80B
80E 7FE 80B
80D 7FE 80B
80E 7FF 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FF 80B
80D 7FE 80B
80D 7FE 80B
80D 7FF 80A
80D 7FE 80B
80E 7FE 80A
80D 7FE 80B
80D 7FE 80B
80E 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FD 80B
80D 7FE 80C
80D 7FD 80B
80D 7FE 80B
80D 7FE 80B
80D 7FF 80B
80D 7FF 80B
80D 7FE 80B
80D 7FD 80B
80D 7FE 80B
80E 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FD 80B
80D 7FE 80C
802 807 81B
80C 7D5 800
80D 801 80B
80D 7FF 80C
81F 843 7DB
80D 7FE 80B
80D 7FF 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FD 80B
80D 7FE 80B
80D 7FE 80B
80E 7FE 80C
80E 7FE 80B
80E 7FE 80B
80D 7FE 80B
80D 7FD 80B
80D 7FE 80A
80D 7FD 80B
80D 7FE 80B
80D 7FE 80B
80D 801 80B
80E 7FF 80B
80E 7FE 80B
80D 7FE 80B
80D 7FD 80B
80D 7FE 80B
80E 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FF 80B
80D 7FE 80B
80D 7FE 80C
80D 7FF 80B
80E 802 80B
7EB 838 808
810 7FE 80C
80D 7FE 80B
80D 7FE 80B
834 801 810
80D 7FD 80B
80E 7FD 80B
80D 7FE 80B
80D 7FE 80B
80E 7FE 80B
80D 7FE 80B
80D 7FD 80B
80D 7FD 80B
80E 7FF 80B
80D 7FE 80B
80D 7FF 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80E 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80A
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FD 80B
80E 7FE 80B
80E 7FE 80B
80D 7FE 80B
80D 7FE 80B
80E 7FD 80A
80D 7FE 80B
80D 7FF 80B
80E 7FF 80B
80D 7FE 80B
80D 7FF 80B
80E 7FF 80B
810 800 80B
811 801 806
80E 7FC 80D
80E 7FE 80C
80D 800 80B
816 7D3 809
80F 7FD 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FF 80B
80D 7FE 80B
80D 7FD 80B
80D 7FF 80A
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80E 7FD 80B
80E 7FF 80B
80D 7FE 80A
80D 7FD 80B
80D 7FF 80B
80D 7FF 80B
80D 7FE 80B
80D 7FF 80B
80D 7FE 80B
80E 7FE 80B
80D 7FD 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FF 80B
80D 7FE 80A
80D 7FF 80B
80D 7FE 80B
80D 7FE 80B
80E 800 80B
81B 7FB 810
80F 7FF 814
80E 7FE 80B
80E 7D5 7E7
816 7FF 810
80D 7FE 80A
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 801 80B
80D 7FF 80B
80E 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FD 80B
80E 7FE 80B
80D 7FE 80B
80D 7FF 80B
80D 7FE 80B
80D 7FE 80B
80D 7FD 80B
80D 7FE 80B
80E 7FE 80B
80D 7FE 80B
80D 7FE 80B
80E 7FD 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80E 7FF 80B
80E 7FE 80B
80D 7FE 80A
80D 7FE 80B
80D 7FE 80B
80F 7FF 80B
80D 7FE 80B
80E 7FE 80B
80D 7FE 80A
80F 7FF 80C
80D 800 817
808 7D1 7FF
80D 7FF 80B
80F 7FD 80B
80B 7FD 809
80D 800 80B
80D 7FD 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80A
80D 7FE 80B
80D 7FE 80B
80E 7FF 80A
80D 7FE 80B
80D 7FD 80B
80D 7FF 80B
80D 7FE 80B
80E 7FE 80B
80D 7FE 80B
80D 7FD 80B
80D 7FF 80B
80D 7FF 80B
80E 7FE 80A
80E 7FF 80B
80D 7FE 80B
80E 7FE 80B
80D 7FE 80B
80D 7FF 80B
80E 7FE 80A
80F 7FD 80B
80D 7FD 80B
80D 7FD 80B
80D 7FE 80B
80E 7FE 80B
80D 7FD 80B
80E 7FF 80B
80D 7FE 80B
80D 7FE 80B
80E 7FE 80B
80F 7FF 80C
833 800 809
80D 800 809
80E 7FD 80D
80C 7FF 80B
817 800 7E9
80F 7FC 80B
80D 7FD 80B
80D 7FE 80B
80D 7FE 80B
80D 7FF 80B
80E 7FE 80B
80D 7FE 80B
80E 7FC 80B
80D 7FE 80B
80E 7FE 80B
80D 7FD 80B
80D 7FE 80B
80E 7FE 80B
80D 7FE 80B
80E 7FE 80B
80E 7FF 80B
80D 7FE 80B
80D 7FD 80A
80E 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FF 80A
